week,week_start,week_end,month,platform,campaign_id,campaign_name,campaign_objective,spend,impressions,clicks,ctr_pct,cpc,cpm,sessions,add_to_cart,atc_rate_pct,checkouts,checkout_rate_pct,orders,cvr_pct,revenue,new_customers,cac,roas,contribution_roas,status
2024-W14,01/04/2024,07/04/2024,2024-04,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1872.35,9751,470,4.83,3.98,192.0,434,32,7.38,20,62.97,10,2.51,7655.22,7,267.48,4.09,2.05,active
2024-W14,01/04/2024,07/04/2024,2024-04,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,3025.57,10039,524,5.22,5.77,301.37,502,27,5.41,13,51.74,17,3.52,11400.72,14,216.11,3.77,1.96,active
2024-W14,01/04/2024,07/04/2024,2024-04,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,964.9,3510,198,5.66,4.87,274.85,174,11,6.53,5,53.8,6,3.75,4575.23,3,321.63,4.74,2.29,active
2024-W14,01/04/2024,07/04/2024,2024-04,google,CMP-GS-004,Google Search — Wellness + Green Tea,acquisition,687.13,2158,110,5.11,6.25,318.36,106,6,6.01,4,68.35,1,1.65,794.25,1,687.13,1.16,0.57,active
2024-W14,01/04/2024,07/04/2024,2024-04,google,CMP-GS-005,Google Shopping — Product Catalog,acquisition,583.89,2477,118,4.78,4.95,235.63,105,5,5.33,3,69.22,3,3.18,2030.31,2,291.94,3.48,1.85,active
2024-W14,01/04/2024,07/04/2024,2024-04,meta,CMP-MT-001,Meta Prospecting — Darjeeling Loyalist,acquisition,3447.72,13810,295,2.14,11.69,249.64,279,20,7.26,14,70.35,7,2.53,4240.79,5,689.54,1.23,0.75,active
2024-W14,01/04/2024,07/04/2024,2024-04,meta,CMP-MT-002,Meta Retargeting — Site Visitors,retargeting,866.28,2866,51,1.81,16.99,302.18,46,2,5.94,1,50.82,1,1.7,702.6,1,866.28,0.81,0.49,active
2024-W14,01/04/2024,07/04/2024,2024-04,meta,CMP-MT-003,Meta Prospecting — Gift + Festive,acquisition,1245.03,3128,54,1.73,23.06,397.91,48,3,6.48,2,70.26,1,3.5,765.22,1,1245.03,0.61,0.38,active
2024-W15,08/04/2024,14/04/2024,2024-04,google,CMP-GS-001,Google Search — Brand + Darjeeling Intent,acquisition,1705.11,6852,403,5.89,4.23,248.83,354,24,6.98,12,52.96,13,3.73,9980.71,8,213.14,5.85,3.27,active
2024-W15,08/04/2024,14/04/2024,2024-04,google,CMP-GS-002,Google Search — First Flush Seasonal,acquisition,2940.08,10873,474,4.36,6.2,270.38,422,28,6.8,18,66.3,13,3.1,9961.97,9,326.68,3.39,1.69,active
2024-W15,08/04/2024,14/04/2024,2024-04,google,CMP-GS-003,Google Search — Chai + Daily Tea,acquisition,826.34,3696,196,5.32,4.22,223.56,173,11,6.91,7,69.35,1,0.98,769.88,1,826.34,0.93,0.55,active
